"id","machine_name","ifas","email","telmc","telfax","hours","empcount","mail","home_page","contact_us","depttxt"
65984,"elections",41401.0,"webvre@berkeleycountysc.gov","4056","4060","9am-5pm M-F",18.0,"PO Box 6122 Moncks Corner, SC 29461","/dept/elections/","webvre@berkeleycountysc.gov","Voter Registration and Elections"
65985,"bcws",48000.0,"customerservice@berkeleycountysc.gov","(843) 761-8817","2642","9am-5pm M-F",246.0,"","/dept/bcws/","bcws@berkeleycountysc.gov","Water and Sanitation"
65986,"bcws_collections",48023.0,"","","","9am-5pm M-F",42.0,"","/dept/bcws/","","Wastewater Collections"
65987,"bcws_distribution",48025.0,"","","","9am-5pm M-F",41.0,"","/dept/bcws/","","Water Distribution"
65988,"bcws_admin",48011.0,"","","","9am-5pm M-F",3.0,"","/dept/bcws/","","BCWS Administration"
65989,"bcws_billing",48016.0,"","","","9am-5pm M-F",17.0,"","/dept/bcws/","","BCWS Billing"
65990,"bcws_eng",48015.0,"bcws.eng@berkeleycountysc.gov","","","9am-5pm M-F",12.0,"","/dept/bcws/","","BCWS Engineering"
65991,"bcws_finance",48014.0,"","","","9am-5pm M-F",0.0,"","/dept/bcws/","","BCWS Finance"
65992,"bcws_operations",48020.0,"bcws.ops@berkeleycountysc.gov","","","9am-5pm M-F",6.0,"","/dept/bcws/","","BCWS Operations"
65995,"bcws_elec",48033.0,"","","","9am-5pm M-F",10.0,"","/dept/bcws/","","Pump & Plant Electrical Maintenance"
65996,"bcws_mech",48032.0,"","","","9am-5pm M-F",17.0,"","/dept/bcws/","","Pump & Plant Mechanical Maintenance"
65997,"it_radio",42210.0,"","","","9am-5pm M-F",2.0,"","/dept/it/","webitd@berkeleycountysc.gov","Radio Shop"
65998,"bcws_scalehouse",48044.0,"","","","9am-5pm M-F",7.0,"","/dept/bcws/","","Scalehouse"
65999,"hillfinklea",42301.0,"shfdc@berkeleycountysc.gov","4546","","",93.0,"","https://sheriff.berkeleycountysc.gov/","","Detention Center"
66000,"bcws_solidcollection",48043.0,"","","","9am-5pm M-F",32.0,"","/dept/bcws/","","Solid Waste Collections"
66001,"bcws_soliddisposal",48042.0,"","","","9am-5pm M-F",28.0,"","/dept/bcws/","","Solid Waste Disposal"
66002,"bcws_landfill",48045.0,"","","","9am-5pm M-F",1.0,"","/dept/bcws/","","Solid Waste Landfill Gas"
66003,"bcws_recycling",48041.0,"","","","9am-5pm M-F",1.0,"","/dept/bcws/","","Solid Waste Recycling"
66004,"bcws_treatment",48030.0,"","","","9am-5pm M-F",20.0,"","/dept/bcws/","","Treatment Plant"
66007,"forfeited-land-commission",10.0,"","","","",0.0,"PO Box 6122 FAO Lori Glover Moncks Corner, SC 29461","/dept/forfeited-land-commission/","lori.glover@berkeleycountysc.gov","Forfeited Land Commission"
66197,"soilcon",44405.0,"info@berkeleysoilandwater.com","4637","","9am-5pm M-F",1.0,"","/dept/soilcon/","","Farm and Land Services"
109258,"ocst",37001.0,"","","","",7.0,"","","","One Cent Sales Tax"
109276,"noncounty",99999.0,"","","","",0.0,"","","","Non-County"
